Part,Value,Device,Package,MANUFACTURER_PART_NUMBER
C1,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
C2,100uF,CPOL-EU,UD-10X10_NICHICON,MAL215099804E3
C3,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
C4,100nF,C-EU'0805',C0805,0805YD104KAT2A
C5,100nF,C-EU'0805',C0805,0805YD104KAT2A
C6,100nF,C-EU'0805',C0805,0805YD104KAT2A
C7,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
IC1,24AA128ST,24AA128ST,TSSOP8,24AA128-I/ST
IC5,74LVC245,74LVC245,TSSOP20,"74LVC245APW,112"
IC6,74ABT245,74ABT245,TSSOP20,"74ABT245PW,112"
J1,POWERPOLE_POWER45A,POWERPOLE_POWER45A,POWERPOLE_PAIR_45A,2x 1336G1 + 1327-BK + 1327G6-BK
PCB1,ARM Arduino Due and headers,ARM Arduino Due and headers,ARM Arduino Due and headers,A000062 + 61303621121 + 929834-01-18-RK + 929975-01-03-RK + 4x 50-29-1620
R1,1K,R-EU'0805',R0805,RT0805FRE071KL
R2,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R3,1K,R-EU'0805',R0805,RT0805FRE071KL
R4,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R5,100,R-EU'0805',R0805,RT0805FRD07100RL
R6,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R7,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R8,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R9,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R10,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R11,100,R-EU'0805',R0805,RT0805FRD07100RL
R12,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R13,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R14,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R15,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R16,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R17,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R18,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R19,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
U$1,MCP120T-315I/TT,MCP120T,SOT95P237X112-3N,MCP120T-315I/TT
X1,AK500/2,AK500/2,AK500/2,691101710002
X3,AK500/2,AK500/2,AK500/2,691101710002
X4,AK500/3,AK500/3,AK500/3,691101710003
X5,AK500/3,AK500/3,AK500/3,691101710003
X6,AK500/6,AK500/6,AK500/6,30.706
X7,AK500/3,AK500/3,AK500/3,691101710003
X8,AK500/2,AK500/2,AK500/2,691101710002
X11,AK500/2,AK500/2,AK500/2,691101710002
XB1,XBEE,XBEE,XBEE,XBP24-Z7UIT-004
