Part,Value,Device,Package,MPN
25MHZ,CB3LV-OSCILATOR,CB3LV-OSCILATOR,SMD-7050_4P,CB3LV-3I-25M0000
C1,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
C2,100uF,CPOL-EU,UD-10X10_NICHICON,MAL215099804E3
C3,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
C4,100nF,C-EU'0805',C0805,0805YD104KAT2A
C5,100nF,C-EU'0805',C0805,0805YD104KAT2A
C6,100nF,C-EU'0805',C0805,0805YD104KAT2A
C7,100nF,C-EU'0805',C0805,0805YD104KAT2A
C8,100nF,C-EU'0805',C0805,0805YD104KAT2A
C9,100nF,C-EU'0805',C0805,0805YD104KAT2A
C10,22nF,C-EU'0805',C0805,CC0805JRX7R8BB223
C11,100nF,C-EU'0805',C0805,0805YD104KAT2A
C12,100nF,C-EU'0805',C0805,0805YD104KAT2A
C13,10nF,C-EU'0805',C0805,CC0805KRX7R9BB103
C14,100nF,C-EU'0805',C0805,0805YD104KAT2A
C15,6.8nF,C-EU'0805',C0805,C0805C682F4HACTU
C16,100nF,C-EU'0805',C0805,0805YD104KAT2A
C17,100nF,C-EU'0805',C0805,0805YD104KAT2A
C18,10nF,C-EU'0805',C0805,CC0805KRX7R9BB103
C19,4.7uF,C-EU'0805',C0805,C0805C475J3RACTU
C20,100nF,C-EU'0805',C0805,0805YD104KAT2A
C21,6.8nF,C-EU'0805',C0805,C0805C682F4HACTU
C22,10nF,C-EU'0805',C0805,CC0805KRX7R9BB103
C25,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
C26,10uF,C-EU'0805',C0805,CC0805KKX5R8BB106
FL1,BLM21AG121SN1D,BLM21AG121SN1D,L0805,BLM21AG121SN1D
IC1,24AA128ST,24AA128ST,TSSOP8,24AA128-I/ST
IC3,FT232RL,FT232RL,SSOP28,FT232RL-REEL
IC4,REG1117,REG1117,SOT223,REG1117-3.3/2K5
IC5,74LVC245,74LVC245,TSSOP20,"74LVC245APW,112"
IC6,74ABT245,74ABT245,TSSOP20,"74ABT245PW,112"
J1,POWERPOLE_POWER45A,POWERPOLE_POWER45A,POWERPOLE_PAIR_45A,2x 1336G1 + 1327-BK + 1327G6-BK
R1,1K,R-EU'0805',R0805,RT0805FRE071KL
R2,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R3,1K,R-EU'0805',R0805,RT0805FRE071KL
R4,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R5,100,R-EU'0805',R0805,RT0805FRD07100RL
R6,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R7,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R8,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R10,100K 0.1%,R-EU'0805',R0805,AT0805BRD07100KL
R11,10K,R-EU'0805',R0805,RT0805FRE0710KL
R12,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R13,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R14,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R15,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R16,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R17,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R18,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R19,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R20,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R21,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R23,10 1%,R-EU'0805',R0805,RT0805FRE1310RL
R24,49.9 1%,R-EU'0805',R0805,RC0805FR-0749R9L
R25,49.9 1%,R-EU'0805',R0805,RC0805FR-0749R9L
R26,49.9 1%,R-EU'0805',R0805,RC0805FR-0749R9L
R27,49.9 1%,R-EU'0805',R0805,RC0805FR-0749R9L
R28,330,R-EU'0805',R0805,RC0805JR-07330RL
R29,330,R-EU'0805',R0805,RC0805JR-07330RL
R30,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R31,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R32,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R33,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R34,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R35,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R36,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R37,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R38,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
R39,12.4K 1%,R-EU'0805',R0805,RC0805FR-0712K4L
R40,4.7K,R-EU'0805',R0805,RT0805FRE074K7L
U$1,ARM Arduino Due and headers,ARM Arduino Due and headers,ARM Arduino Due and headers,A000062 + 61303621121 + 929834-01-18-RK + 929975-01-03-RK + 4x 50-29-1620
U$2,MCP120T-270I_TT,MCP120T-270I_TT,SOT95P237X112-3N,MCP120T-270I/TT
U1,W5500,W5500,LQFP48,W5500
X1,AK500/2,AK500/2,AK500/2,691101710002
X3,AK500/2,AK500/2,AK500/2,691101710002
X4,AK500/3,AK500/3,AK500/3,691101710003
